Date,Time,Lock Option,Number of Threads,No. of Links Visited
2022-19-05,12.04.45PM,Semaphorelock,1,2977
2022-19-05,12.05.18PM,Semaphorelock,2,4082
2022-19-05,12.04.45PM,Semaphorelock,3,5112
2022-19-05,12.05.18PM,Semaphorelock,4,5654
2022-19-05,12.04.45PM,Semaphorelock,5,5668
2022-19-05,12.05.18PM,Semaphorelock,6,5693
2022-19-05,12.04.45PM,Semaphorelock,7,5190
2022-19-05,12.05.18PM,Semaphorelock,8,4970
2022-19-05,12.04.45PM,Semaphorelock,9,3858
2022-19-05,12.05.18PM,Semaphorelock,10,3589
2022-19-05,12.04.45PM,Semaphorelock,11,2061
2022-19-05,12.05.18PM,Semaphorelock,12,1951
2022-19-05,12.04.45PM,Semaphorelock,13,1473
2022-19-05,12.05.18PM,Semaphorelock,15,1443
2022-19-05,12.04.45PM,Semaphorelock,23,413
2022-19-05,12.05.18PM,Semaphorelock,17,1106
2022-22-05,06.29.20PM,Lockfree,2,121
2022-22-05,06.31.28PM,Semaphorelock,3,6124
2022-22-05,06.33.26PM,Semaphorelock,2,6319
2022-22-05,06.34.21PM,Monitorlock,2,2197
2022-22-05,06.37.21PM,Lockfree,3,107
2022-22-05,06.38.06PM,Monitorlock,3,1705
2022-22-05,06.39.22PM,Lockfree,10,183
2022-22-05,06.39.55PM,Semaphorelock,10,4277
2022-22-05,06.41.19PM,Monitorlock,10,1673
2022-22-05,06.42.38PM,Lockfree,20,104
2022-22-05,06.43.01PM,Semaphorelock,20,1227
2022-22-05,06.44.09PM,Monitorlock,20,1183
2022-22-05,07.07.36PM,Lockfree,25,95
2022-22-05,07.15.37PM,Lockfree,10,160
2022-22-05,07.45.55PM,Semaphorelock,25,1014
2022-22-05,07.46.34PM,Monitorlock,25,1183
2022-22-05,07.54.51PM,Lockfree,50,80
2022-22-05,07.55.17PM,Semaphorelock,50,911
2022-22-05,07.55.49PM,Monitorlock,50,777
2022-22-05,08.42.44PM,Lockfree,1,48
2022-22-05,08.48.04PM,Semaphorelock,1,5142
2022-22-05,08.48.18PM,Monitorlock,1,5643
2022-22-05,08.48.49PM,Semaphorelock,3,6036
2022-22-05,08.49.08PM,Lockfree,4,135
2022-22-05,08.49.22PM,Semaphorelock,4,5833
2022-22-05,08.49.37PM,Monitorlock,4,3546
2022-22-05,08.49.51PM,Lockfree,5,153
2022-22-05,08.50.09PM,Semaphorelock,5,5894
2022-22-05,08.59.23PM,Monitorlock,5,1251
2022-22-05,11.26.50PM,Monitorlock,5,1376
2022-22-05,11.27.50PM,Lockfree,6,152
2022-22-05,11.28.06PM,Semaphorelock,6,5835
2022-22-05,11.28.19PM,Monitorlock,6,1229
2022-22-05,11.28.32PM,Lockfree,7,184
2022-22-05,11.28.45PM,Semaphorelock,7,5750
2022-22-05,11.28.57PM,Monitorlock,7,1179
2022-22-05,11.29.12PM,Lockfree,8,155
2022-22-05,11.29.28PM,Semaphorelock,7,5847
2022-22-05,11.29.43PM,Monitorlock,7,1154
2022-22-05,11.30.05PM,Lockfree,8,171
2022-22-05,11.30.18PM,Semaphorelock,8,5600
2022-22-05,11.30.32PM,Monitorlock,8,1204
2022-22-05,11.30.46PM,Lockfree,9,197
2022-22-05,11.31.00PM,Semaphorelock,9,4911
2022-22-05,11.31.18PM,Monitorlock,9,1273
2022-22-05,10.26.11AM,Lockfree,1,24
2022-22-05,10.26.19AM,Lockfree,1,25
2022-22-05,10.27.11AM,Lockfree,2,30
2022-22-05,10.27.19AM,Lockfree,2,23
2022-22-05,10.28.11AM,Lockfree,3,37
2022-22-05,10.28.14AM,Lockfree,3,31
2022-22-05,10.28.19AM,Lockfree,4,45
2022-22-05,10.28.20AM,Lockfree,4,24
2022-22-05,10.29.11AM,Lockfree,5,66
2022-22-05,10.29.13AM,Lockfree,5,26
2022-22-05,10.29.16AM,Lockfree,6,119
2022-22-05,10.29.19AM,Lockfree,6,29
2022-22-05,10.30.19AM,Lockfree,7,56
2022-22-05,10.30.20AM,Lockfree,7,22
2022-22-05,10.31.20AM,Lockfree,7,40
2022-22-05,10.31.19AM,Lockfree,7,26
2022-22-05,10.33.56AM,Lockfree,8,49
2022-22-05,10.33.59AM,Lockfree,8,18
2022-22-05,10.35.22AM,Lockfree,8,95
2022-22-05,10.35.25AM,Lockfree,8,33
2022-22-05,10.35.50AM,Lockfree,10,67
2022-22-05,10.35.53AM,Lockfree,10,23
2022-22-05,10.36.13AM,Lockfree,9,67
2022-22-05,10.36.20AM,Lockfree,9,20
2022-22-05,10.37.13AM,Lockfree,11,67
2022-22-05,10.37.18AM,Lockfree,11,22
2022-22-05,10.43.34AM,Lockfree,12,97
2022-22-05,10.43.38AM,Lockfree,12,21
2022-22-05,10.48.32AM,Semaphorelock,1,162
2022-22-05,10.48.35AM,Semaphorelock,1,1658
2022-22-05,10.48.52AM,Semaphorelock,2,230
2022-22-05,10.48.56AM,Semaphorelock,2,1693
2022-22-05,10.49.34AM,Semaphorelock,3,211
2022-22-05,10.49.38AM,Semaphorelock,3,2778
2022-22-05,10.51.21AM,Semaphorelock,4,385
2022-22-05,10.51.24AM,Semaphorelock,4,1623
2022-22-05,10.51.48AM,Semaphorelock,5,385
2022-22-05,10.52.51AM,Semaphorelock,5,1329
2022-22-05,10.52.52AM,Semaphorelock,6,419
2022-22-05,10.52.56AM,Semaphorelock,6,632
2022-22-05,10.53.26AM,Semaphorelock,7,420
2022-22-05,10.53.29AM,Semaphorelock,7,678
2022-22-05,10.53.56AM,Semaphorelock,8,389
2022-22-05,10.53.59AM,Semaphorelock,8,150
2022-22-05,10.54.26AM,Semaphorelock,8,402
2022-22-05,10.54.30AM,Semaphorelock,8,801
2022-22-05,10.54.46AM,Semaphorelock,9,478
2022-22-05,10.54.50AM,Semaphorelock,9,159
2022-22-05,10.55.50AM,Semaphorelock,10,493
2022-22-05,10.55.53AM,Semaphorelock,10,69
2022-22-05,10.56.29AM,Semaphorelock,11,481
2022-22-05,10.56.32AM,Semaphorelock,11,53
2022-22-05,10.58.20AM,Semaphorelock,12,435
2022-22-05,10.58.24AM,Semaphorelock,12,55
2022-22-05,10.58.47AM,Monitorlock,1,152
2022-22-05,10.58.51AM,Monitorlock,1,1664
2022-22-05,10.59.38AM,Monitorlock,2,166
2022-22-05,10.59.41AM,Monitorlock,2,53
2022-22-05,10.59.56AM,Monitorlock,3,143
2022-22-05,10.59.59AM,Monitorlock,3,985
2022-22-05,11.00.20AM,Monitorlock,4,360
2022-22-05,11.00.50AM,Monitorlock,4,85
2022-22-05,11.00.56AM,Monitorlock,5,350
2022-22-05,11.00.59AM,Monitorlock,5,22
2022-22-05,11.01.06AM,Monitorlock,6,344
2022-22-05,11.01.08AM,Monitorlock,6,99
2022-22-05,11.03.08AM,Monitorlock,6,379
2022-22-05,11.03.11AM,Monitorlock,6,56
2022-22-05,11.03.16AM,Monitorlock,7,235
2022-22-05,11.03.19AM,Monitorlock,7,59
2022-22-05,11.05.18AM,Monitorlock,8,325
2022-22-05,11.05.19AM,Monitorlock,8,22
2022-22-05,11.05.21AM,Monitorlock,9,109
2022-22-05,11.06.16AM,Monitorlock,9,44
2022-22-05,11.06.18AM,Monitorlock,10,185
2022-22-05,11.06.19AM,Monitorlock,10,23
2022-22-05,11.08.42AM,Monitorlock,12,216
2022-22-05,11.08.46AM,Monitorlock,12,29
2022-22-05,11.09.12AM,Monitorlock,11,260
2022-22-05,11.09.16AM,Monitorlock,11,19
